close,datetime,datetimeISO8601,high,low,open,volume
128.24001,1141797600000,,128.44,127.18,127.7,66692400
127.38,1141884000000,,128.67999,127.38,128.28,56313600
128.59,1141970400000,,128.84,127.44,127.71,60490800
128.83,1142229600000,,129.16,128.53,128.84,45479100
130.17999,1142316000000,,130.23,128.61,128.71001,69877296
130.75999,1142402400000,,130.86,129.85001,130.14999,53398900
131.03,1142488800000,,131.47,130.84,131.00999,65526400
130.62,1142575200000,,130.89999,130.38,130.67999,47286800
130.41,1142834400000,,130.89999,130.21001,130.64,45538500
129.59,1142920800000,,130.99001,129.45,130.37,87102704
130.38,1143007200000,,130.50999,129.45,129.50999,51605700
130.11,1143093600000,,130.39,129.66,130.25999,46704200
130.21001,1143180000000,,130.57001,129.74001,129.99001,43209200
130.02,1143439200000,,130.28,129.74001,130.03,32523000
129.22,1143525600000,,130.53,129.05,129.92999,82079904
130.03,1143612000000,,130.5,129.28999,129.41,61505700
129.8,1143698400000,,130.98,129.55,130.11,70571696
129.83,1143784800000,,130.24001,129.37,130.02,62925600
129.73,1144040400000,,130.87,129.49001,130.07001,61624700
130.56,1144126800000,,130.73,129.36,129.73,54809300
131.00999,1144213200000,,131.28,130.38,130.61,50607200
130.87,1144299600000,,131.21001,130.19,130.85001,57906200
129.53999,1144386000000,,131.39999,129.35001,131.06,80180896
129.74001,1144645200000,,130.08,129.25999,129.74001,41496500
128.64,1144731600000,,130.06,128.25,129.85001,72799400
128.88,1144818000000,,129.13,128.61,128.77,43033700
128.71001,1144904400000,,129.25,128.31,128.59,51051800
128.66,1145250000000,,129.31,128.02,128.83,64167700
130.7,1145336400000,,130.94,128.92999,128.92999,92531800
130.95,1145422800000,,131.07001,130.24001,130.75,87269000
131.13,1145509200000,,131.86,130.60001,131.0,86005504
131.14999,1145595600000,,131.78999,130.62,131.69,72342600
130.91,1145854800000,,131.07001,130.38,130.89,52546400
130.37,1145941200000,,131.12,129.92,131.03999,84359800
130.39999,1146027600000,,131.14,130.3,130.5,67262400
131.03,1146114000000,,131.63,129.59,129.89999,124478600
131.47,1146200400000,,131.75,130.71001,130.78999,55854400
130.39999,1146459600000,,131.8,130.32001,131.47,64990300
131.38,1146546000000,,131.46001,130.74001,131.00999,49063500
130.89,1146632400000,,131.32001,130.45,131.14999,60821300
131.36,1146718800000,,131.62,130.97,131.08,42921400
132.52,1146805200000,,132.8,131.85001,132.05,62588200
132.36,1147064400000,,132.77,132.36,132.50999,30016700
132.62,1147150800000,,132.77,132.31,132.42,29864000
132.55,1147237200000,,132.75,131.89,132.41,64378200
130.95,1147323600000,,132.55,130.52,132.50999,80626896
129.24001,1147410000000,,130.72,129.19,130.36,91726496
129.5,1147669200000,,129.74001,128.61,128.78999,84029296
129.31,1147755600000,,130.0,129.00999,129.75999,62137600
126.85,1147842000000,,129.10001,126.77,128.67,144789500
126.21,1147928400000,,127.75,126.11,127.35,87906304
127.1,1148014800000,,127.49,125.8,126.87,124309400
126.13,1148274000000,,127.17,125.5,126.28,110852800
125.17,1148360400000,,127.63,125.17,127.18,92006496
